"Variable","Label","Type_Stata","Type_R","N_Manquants","Pct_Manquant"
"s02q14","2.14. Niveau d'études suivi au cours de l'année 2017/2018","%6.2f","haven_labelled",30463,73.52
"s02q15","2.15. Filière suivie","%6.2f","haven_labelled",40155,96.91
"s02q16","2.16. Classe fréquentée  dans le niveau déclaré au cours de 2017/2018","%6.2f","haven_labelled",30463,73.52
"s02q17","2.17. Est satisfait de l'enseignement reçu à l'école","%6.2f","haven_labelled",30463,73.52
"s02q18__1","2.18. Rencontre des problèmes d'Insuffisance de livres/fournitures dans le cadre","%6.2f","haven_labelled",30472,73.54
"s02q18__2","2.18. Rencontre des problèmes d'Insuffisance de tables bancs et d'équipements da","%6.2f","haven_labelled",30484,73.57
"s02q18__3","2.18. Rencontre des problèmes dAbsentéisme des enseignants/grève dans le cadre","%6.2f","haven_labelled",30473,73.55
"s02q18__4","2.18. Rencontre des problèmes d'Enseignement pas satisfaisant dans le cadre  de","%6.2f","haven_labelled",30487,73.58
"s02q18__5","2.18. Rencontre des problèmes d'Effectifs pléthoriques dans le cadre  de sa scol","%6.2f","haven_labelled",30478,73.56
"s02q18__6","2.18. Rencontre des problèmes d'Insuffisance d'enseignants dans le cadre  de sa","%6.2f","haven_labelled",30494,73.6
"s02q18__7","2.18. Rencontre des problèmes de Manque de toilettes dans le cadre  de sa scolar","%6.2f","haven_labelled",30481,73.57
"s02q18__8","2.18. Rencontre des problèmes de Fréquence des cotisations dans le cadre  de sa","%6.2f","haven_labelled",30480,73.56
"s02q18__9","2.18. Rencontre des problèmes de Salle de classe en mauvais état  dans le cadre","%6.2f","haven_labelled",30492,73.59
"s02q19","2.19. Structure qui gère l'école fréquentée  au cours de l'année 2017/2018","%6.2f","haven_labelled",30463,73.52
"s02q20","2.20. Montant des frais d'inscription et de scolarité  pour l'année 2017/2018","%6.2f","numeric",30562,73.76
"s02q21","2.21. Montant des cotisations pour l'année scolaire 2017/2018","%6.2f","numeric",30499,73.61
"s02q22","2.22. Montant des frais de fournitures pour l'année 2017/2018","%6.2f","numeric",30471,73.54
"s02q23","2.23. Montant des frais pour les  autres matériels scolaires pour l'année scolai","%6.2f","numeric",30487,73.58
"s02q24","2.24. Montant des frais d'uniformes pour l'année scolaire 2017/2018","%6.2f","numeric",30471,73.54
"s02q25","2.25. Montant des frais de cantine scolaire ou de restauration de l'année scolai","%6.2f","numeric",30531,73.69
"s02q26","2.26. Montant des frais de transport scolairepour l'année scolaire 2017/2018","%6.2f","numeric",30532,73.69
"s02q27","2.27. Montant des autres dépenses scolaires (cours de soutien ou de repetition)","%6.2f","numeric",30508,73.63
"s02q28","2.28. Montant de la bourse/Allocation reçu au cours de l'année 2017/2018","%6.2f","numeric",30523,73.67
"s02q29","2.29. Niveau d'études le plus élevé atteint","%6.2f","haven_labelled",35256,85.09
"s02q30","2.30. Filière suivie au cours de l'année scolaire","%6.2f","haven_labelled",38994,94.11
"s02q31","2.31. Dernière classe fréquentée dans le niveau déclaré","%6.2f","haven_labelled",35256,85.09
"s02q32","2.32. Année de frequentation pour la dernière fois","%6.2f","numeric",35256,85.09
"s02q33","2.33. Diplôme le plus elevé obtenu","%6.2f","haven_labelled",24285,58.61
"s03q00","3.00. Répondant","%10.0g","numeric",0,0
"s03q01","3.01. A eu un problème de santé, maladie ou un accident au cours des 30 derniers","%6.2f","haven_labelled",0,0
"s03q02","3.02. Principal problème de santé eu","%6.2f","haven_labelled",10409,25.12
"s03q03","3.03. Ce problème de santé a empêché de mener ses activites quotidiennes","%6.2f","haven_labelled",10409,25.12
"s03q04","3.04. Nombre de temps que la maladie a empêché de mener ses activites","%6.2f","haven_labelled",21455,51.78
"s03q05","3.05. A consulté dans un service  de santé, ou un guérisseur","%6.2f","haven_labelled",10409,25.12
"s03q06","3.06. Pour quelle raison principale %rostertitle% n'a-t-il pas été consulté (e)?","%6.2f","haven_labelled",27888,67.31
"s03q07","3.07. Lieu de consultation la première fois pour cet épisode de maladie","%6.2f","haven_labelled",23958,57.82
"s03q08","3.08. Personne consulté la première fois pour cet épisode de maladie","%6.2f","haven_labelled",23958,57.82
"s03q09","3.09. A été satisfait du service reçu lors de cette première consultation","%6.2f","haven_labelled",23958,57.82
"s03q10__1","3.10. A eu des problèmes d'établissement pas propre au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__2","3.10. A eu des problèmes d'attente longue au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__3","3.10. A eu des problèmes de personnel non qualifié au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__4","3.10. A eu des problèmes de coût trop cher au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__5","3.10. A eu des problèmes de pas de médicament au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__6","3.10. A eu des problèmes de traitement inefficace au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__7","3.10. A eu des problèmes de mauvais accueil au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__8","3.10. A eu des problèmes d'absence du personnel au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q10__9","3.10. A eu d'autres problèmes au cours de sa visite","%6.2f","haven_labelled",23958,57.82
"s03q11","3.11 Distance entre le domicile et le lieu de la premiere consultation","%6.2f","haven_labelled",23958,57.82
"s03q12","3.12  A consulté un service de santé ou un guérisseur au cours des 3 derniers mo","%6.2f","haven_labelled",17479,42.19
"s03q13","3.13 Montant des frais de consultation d'un médecin généraliste des 3 derniers m","%6.2f","numeric",20659,49.86
"s03q14","3.14 Montant des frais de consultation d'un médecin spécialiste des 3 derniers m","%6.2f","numeric",37032,89.38
"s03q15","3.15 Montant des frais de consultation pour un dentiste des 3 derniers mois","%6.2f","numeric",38295,92.42
"s03q16","3.16 Montant des frais de consultation d'un guérisseur traditionnel des 3 dernie","%6.2f","numeric",36037,86.97
"s03q17","3.17 Montant des frais des examens médicaux et de soins des 3 derniers mois","%6.2f","numeric",29714,71.71
"s03q18","3.18 Montant des frais de médicaments des 3 derniers mois","%6.2f","numeric",12314,29.72
"s03q19","3.19. A eu un problème de santé au cours des 12 derniers mois","%6.2f","haven_labelled",0,0
"s03q20","3.20. Nombre de fois d'hospitalisation  au cours des 12 derniers mois","%6.2f","numeric",39564,95.49
"s03q21","3.21. Dernier problème de santé qui a necessite une hospitalisation","%6.2f","haven_labelled",39562,95.48
"s03q22","3.22. Pour ce dernier problème de santé  ayant nécéssité une hospitalisation au","%6.2f","numeric",39566,95.49
"s03q23","3.23. Lieu d'hospitalisation pour le dernier problème de santé","%6.2f","haven_labelled",39562,95.48
"s03q24","3.24. Montant des frais d'hospitalisation au cours des 12 derniers mois","%6.2f","numeric",39659,95.72
"s03q25","3.25. A supporté des frais pour appareils médicaux thérapeutiques tels que des b","%6.2f","haven_labelled",0,0
"s03q26","3.26. Montant des frais pour verres correcteurs, monture de lunettes","%6.2f","numeric",41351,99.8
"s03q27","3.27. Montant dépensé au cours des 12 derniers mois pour des béquilles","%6.2f","numeric",41329,99.75
"s03q28","3.28. A supporté des frais de vaccination, circoncision ou bilan de santé","%6.2f","haven_labelled",0,0
"s03q29","3.29. Montant des dépenses de vaccination","%6.2f","numeric",38506,92.93
"s03q30","3.30. Montant des dépenses de circoncision","%6.2f","numeric",40714,98.26
"s03q31","3.31. Montant des dépenses de bilan de santé (check up)","%6.2f","numeric",39472,95.26
"s03q32","3.32. Est couvert par une assurance maladie","%6.2f","haven_labelled",0,0
"s03q33","3.33. Taux de remboursement (couverture)","%6.2f","numeric",41217,99.48
"s03q34","3.34. Personne qui parraine/finance l'assurance maladie","%6.2f","haven_labelled",41216,99.47
"s03q35","3.35. Mode de remboursement","%6.2f","haven_labelled",41216,99.47
"s03q36","3.36. Bénéficie d'une prise en charge particulière (Mutuelle, consultation gratu","%6.2f","haven_labelled",0,0
"s03q37__1","3.37. Mutuelle comme type de prise en charge","%6.2f","haven_labelled",40267,97.18
"s03q37__2","3.37. Consultation gratuite(CPN) comme type de prise en charge","%6.2f","haven_labelled",40267,97.18
"s03q37__3","3.37. Gratuité ciblée comme type de prise en charge","%6.2f","haven_labelled",40267,97.18
"s03q37__4","3.37. Gratuité totale comme type de prise en charge","%6.2f","haven_labelled",40267,97.18
"s03q37__5","3.37. Programme de prise en charge integré des maladies de l'enfant comme type d","%6.2f","haven_labelled",40267,97.18
"s03q37__6","3.37. Autres programmes spéciaux comme type de prise en charge","%6.2f","haven_labelled",40267,97.18
"s03q38","3.38. Dort habituellement sous une moustiquaire","%6.2f","haven_labelled",0,0
"s03q39","3.39. A dormi sous une moustiquaire la nuit dernière","%6.2f","haven_labelled",0,0
"s03q40","3.40. Moyen principal utilisé pour se protéger des piqûres de moustiques","%6.2f","haven_labelled",0,0
"s03q41","3.41. A des difficultés pour voir, même avec des lunettes","%6.2f","haven_labelled",0,0
"s03q42","3.42. A des difficultés pour entendre même avec une aide auditive","%6.2f","haven_labelled",0,0
"s03q43","3.43. A des difficultés pour marcher ou monter les escaliers","%6.2f","haven_labelled",0,0
"s03q44","3.44. A des difficultés pour se rappeler ou se concentrer","%6.2f","haven_labelled",0,0
"s03q45","3.45. A des difficultés pour accomplir des tâches comme se laver ou s'habiller","%6.2f","haven_labelled",0,0
"s03q46","3.46. A des difficultés pour communiquer ou se faire comprendre","%6.2f","haven_labelled",0,0
"s04q00","4.00. Répondant","%10.0g","numeric",7305,17.63
"s04q01","4.01. Heures conscrées à faire des course au marché au cours des 7 derniers jour","%6.2f","numeric",7307,17.64
"s04q02","4.02. Heures conscrées aux travaux domestiques au cours des 7 derniers jours","%6.2f","numeric",7306,17.63
"s04q03","4.03. Heures conscrées à la garde des enfants au cours des 7 derniers jours","%6.2f","numeric",7306,17.63
"s04q04","4.04. Heures conscrées pour aller chercher de l'eau au cours des 7 derniers jour","%6.2f","numeric",7305,17.63
"s04q05","4.05. Heures conscrées pour aller chercher du bois au cours des 7 derniers jours","%6.2f","numeric",7305,17.63
"s04q06","4.06. A travaillé au moins une heure dans un chanp au cours des 7 derniers jours","%6.2f","haven_labelled",7305,17.63
"s04q07","4.07. A travaillé au moins une heure dans un commerce, transformation au cours d","%6.2f","haven_labelled",7305,17.63
"s04q08","4.08. A travaillé au moins une heure pour une entreprise, l'état au cours des 7","%6.2f","haven_labelled",7305,17.63
"s04q09","4.09. A travaillé au moins une heure comme apprenti, stagiaire au cours des 7 de","%6.2f","haven_labelled",7305,17.63
"s04q11","4.11. Possede un emploi qu'il aurait du exercer au cours des 7 derniers jours","%6.2f","haven_labelled",21572,52.06
"s04q12","4.12. Raison de n'avoir pas travaillé au cours des 7 derniers jours","%6.2f","haven_labelled",41094,99.18
"s04q13","4.13. A au moins travaillé dans un champ, jardin sans rémunération au cours des","%6.2f","haven_labelled",21912,52.88
"s04q14","4.14. A au moins travaillé dans un commerce, transformation sans rémunération au","%6.2f","haven_labelled",23673,57.13
"s04q15","4.15. A cherché un emploi rémunéré au cours des 30 derniers jours","%6.2f","haven_labelled",39293,94.83
