"Variable","Label","Type_Stata","Type_R","N_Manquants","Pct_Manquant"
"s06q13a","6.13. Mois auquel ce dernier crédit a été contracté","%6.2f","haven_labelled",39908,96.32
"s06q13b","6.13. Année a laquelle ce dernier crédit a été contracté","%6.2f","numeric",39908,96.32
"s06q14","6.14. Montant nominal de ce dernier crédit (En GNF)","%6.2f","numeric",39908,96.32
"s06q15","6.15. Périodicité des remboursements de ce dernier crédit","%6.2f","haven_labelled",39908,96.32
"s06q16","6.16. Nombre d'échéances de remboursement de ce dernier crédit","%6.2f","numeric",39927,96.36
"s06q17","6.17. Montant nominal devant être remboursé en moyenne à chaque échéance","%6.2f","numeric",39911,96.32
"s06q18","6.18. Nombre d'échéances déjà remboursées pour ce dernier crédit","%6.2f","numeric",39908,96.32
"prefecture","Prefecture de residence","%6.2f","haven_labelled",0,0
"year","Annee enquete","%9.0g","numeric",0,0
"hhid","Idenfiant menage","%9.0g","numeric",0,0
"zae","Zone agroecologique","%17.0g","haven_labelled",0,0
"region","Region residence","%6.2f","haven_labelled",0,0
"milieu","Milieu residence","%6.2f","haven_labelled",0,0
"zaemil","group(zae milieu)","%26.0g","haven_labelled",0,0
"hhweight","Ponderation menage","%9.0g","numeric",0,0
"hhsize","Taille menage","%6.0f","numeric",0,0
"eqadu1","Nbr adultes-equiv. FAO","%9.0g","numeric",0,0
"eqadu2","Nbr adultes-equiv. alt.","%9.0g","numeric",0,0
"hgender","Genre du CM","%6.2f","haven_labelled",0,0
"hage","Age du CM","%9.0g","numeric",0,0
"hmstat","Situation famille du CM","%6.2f","haven_labelled",0,0
"hreligion","Religion du CM","%6.2f","haven_labelled",0,0
"hnation","Nationalite du CM","%6.2f","haven_labelled",0,0
"halfab","Alphabetisation du CM","%9.0g","haven_labelled",0,0
"heduc","Education du CM","%15.0g","haven_labelled",0,0
"hdiploma","Diplome du CM","%6.2f","haven_labelled",0,0
"hhandig","Handicap majeur CM","%9.0g","haven_labelled",0,0
"hactiv7j","Activite 7 jours du CM","%19.0g","haven_labelled",0,0
"hactiv12m","Activite 12 mois du CM","%14.0g","haven_labelled",0,0
"hbranch","Branche activite du CM","%16.0g","haven_labelled",3303,7.97
"hsectins","Secteur instit. du CM","%6.2f","haven_labelled",3303,7.97
"hcsp","CSP du CM","%6.2f","haven_labelled",3303,7.97
"dali","Conso annuelle alim. menage","%9.0g","numeric",0,0
"dnal","Conso annuelle non alim. menage","%9.0g","numeric",0,0
"dtot","Conso annuelle totale menage","%9.0g","numeric",0,0
"pcexp","Indicateur de bien-être","%9.0g","numeric",0,0
"zref","Seuil pauvrete national","%9.0g","numeric",0,0
"def_spa","Deflateur spatial","%9.0g","numeric",0,0
"merge1","Matching result from merge","%23.0g","haven_labelled",0,0
"codpr","Code produit","%256.0g","haven_labelled",0,0
"modep","Mode d'acquisition","%15.0g","haven_labelled",0,0
"dep_logement","Depense annuelle","%9.0g","numeric",0,0
"merge2","Matching result from merge","%23.0g","haven_labelled",0,0
"dep_transport_commun","(sum) depan","%9.0g","numeric",0,0
"_merge","Matching result from merge","%23.0g","haven_labelled",0,0
"generaliste","","%9.0g","numeric",20659,49.86
"spécialiste","","%9.0g","numeric",37032,89.38
"dentiste","","%9.0g","numeric",38295,92.42
"traditionnel","","%9.0g","numeric",36037,86.97
"examen","","%9.0g","numeric",29714,71.71
"medicament","","%9.0g","numeric",12314,29.72
"hospitalisation","","%9.0g","numeric",39659,95.72
"autre","","%9.0g","numeric",38325,92.5
"medicament_dollar","","%9.0g","numeric",12314,29.72
"generaliste_dollar","","%9.0g","numeric",20659,49.86
"spécialiste_dollar","","%9.0g","numeric",37032,89.38
"dentiste_dollar","","%9.0g","numeric",38295,92.42
"traditionnel_dollar","","%9.0g","numeric",36037,86.97
"examen_dollar","","%9.0g","numeric",29714,71.71
"hospitalisation_dollar","","%9.0g","numeric",39659,95.72
"autre_dollar","","%9.0g","numeric",38325,92.5
"tot_sante","","%9.0g","numeric",0,0
"oops_sante","","%9.0g","numeric",0,0
"tot_edu","","%9.0g","numeric",0,0
"age_cal","","%9.0g","numeric",0,0
